ID,Address,Latitude,Longitude,Sensor_type
268520u,"ул. Жемчужная, 22 в Колодищах в Минском районе",53.9447,27.7553,rp5
268523u,"ул. Леонида Беды, 38 (2) в Минске",53.939,27.5958,rp5
268524u,"Воловщина, 29 в Минском районе",53.9687,27.2517,rp5
268529u,"ул. Тимошенко, 10 в Минске",53.9053,27.4623,rp5
268530u,"ул. Весенняя, 4 в Раубичах в Минском районе",54.0657,27.7848,rp5
268531u,"ул. Каштановая, 6 в мкр. Цна в Минске",53.9683,27.5937,rp5
268534u,"ул. Центральная, 42 в Лапоровичах в Минском районе",54.0018,27.3792,rp5
268537u,"ул. Кольцова, 19А в Минске",53.9513,27.6117,rp5
268538u,"ул. Нестерова, 62 в Минске",53.8843,27.6877,rp5
268539u,"ул. Ясная Поляна, 45 в Липовой Колоде в Минском районе",53.919,27.8725,rp5
268545u,"ул. Светлая, 21 в Колодищах в Минском районе",53.9127,27.7802,rp5
268546u,"ул. Зацень, 11А в Минске",53.966,27.5085,rp5
268547u,"ул. Зацень, 59 в Минске",53.9567,27.5065,rp5
268549u,"ул. Земляничная, 10 в Раубичах в Минском районе",54.0673,27.7768,rp5
268550u,"ул. Князя Острожского, 2 в Колодищах в Минском районе",53.9487,27.7492,rp5
26842,Шаранговича,53.884,27.442,Belhydromet
26843,Самохваловичи,53.75,27.5,Belhydromet
26850,Уручье,53.96,27.7,Belhydromet
26851,Независимости,53.929,27.635,Belhydromet
26852,Тимирязева,53.913,27.523,Belhydromet
26854,Корженевского,53.843,27.52,Belhydromet
26856,Богдановича,53.949,27.597,Belhydromet
26857,Бобруйская,53.889,27.558,Belhydromet
26858,Радиальная,53.896,27.644,Belhydromet
